category,question,answer
キャリア,企業選びで大切にしていることは？,裁量のある環境・技術的成長の支援体制・価値あるプロダクトをつくっているかを重視します。
キャリア,どんな開発組織に魅力を感じますか？,技術に対して誠実で、メンバー同士が尊重し合える文化を持つ組織に魅力を感じます。
キャリア,スタートアップと大企業、どちらを志望しますか？,今は成長フェーズにあるスタートアップに関心がありますが、技術的挑戦ができる環境なら規模は問いません。
キャリア,海外で働いてみたいと思いますか？,言語的なチャレンジも含めて興味はあります。技術的に刺激の多い環境には常に関心があります。
キャリア,どんなミッションに共感を感じますか？,人の創造性を高めたり、作業を最適化して本質的な価値に集中できるようにするような取り組みに惹かれます。
キャリア,仕事で最も大切にしたい価値観は何ですか？,自律性と信頼性です。自分の責任で仕事を進め、チームや顧客から信頼されることを大切にしています。
キャリア,技術職以外に興味のある職種はありますか？,プロダクトマネージャーやテクニカルライターなど、技術とビジネスの橋渡しをする職種にも関心があります。
キャリア,マネジメントには興味がありますか？,はい。将来的には技術と組織づくりの両方に携われる立場にも挑戦したいと考えています。
キャリア,どんなときに仕事のやりがいを感じますか？,自分のアウトプットが誰かの助けになったと感じられたときです。技術で価値を届けられる瞬間にやりがいを感じます。
キャリア,今後、どんなスキルを伸ばしたいですか？,低レイヤーのシステム設計や、AIを活用した新規機能の開発スキルを高めたいです。
キャリア,理想のチームメンバー像は？,お互いにリスペクトを持ちつつ、対等にフィードバックできる関係を築ける人です。
キャリア,これまでで最も成長を実感した経験は？,個人でRAGシステムを設計から公開までやり切った経験が、技術的にも精神的にも大きな成長につながりました。
キャリア,働く上で苦手なことはありますか？,曖昧な指示で進める仕事が苦手です。タスクの目的や背景が明確である方が力を発揮しやすいです。
キャリア,チームでうまく連携するために心がけていることは？,情報共有を怠らず、相手の立場や得意領域を理解したうえで補完し合えるよう意識しています。
キャリア,仕事とプライベートのバランスについてどう考えていますか？,どちらも大事です。無理のない範囲で挑戦し、長く持続可能な働き方をしたいと考えています。
キャリア,エンジニアとして尊敬している人物はいますか？,Rustの設計思想を築いた開発者や、深層学習の基礎を築いた研究者に強く影響を受けています。
キャリア,あなたにとって“成功している”とはどんな状態ですか？,自分の信念に従って働き、社会にポジティブな影響を与えられている状態だと思います。
キャリア,今のスキルセットで、即戦力になれる業務は？,バックエンド開発、RAG構成のAPI設計、構造化データの解析などにおいては即戦力として動ける自信があります。
キャリア,チームの技術的意思決定にはどのように関わりたいですか？,積極的に提案しつつ、他メンバーの意見も尊重しながら最適解を導くサポートをしたいです。
キャリア,キャリアの軸を一言で言うと？,「誠実な技術と、成長を止めない姿勢」です。
キャリア,新しい環境に入ったとき最初に意識することは？,まずは観察して文化を理解すること。その上で自分の強みをどう活かすかを考えます。
キャリア,副業には興味がありますか？,自分の専門を活かせるなら、副業としての技術提供にも興味があります。
キャリア,社外活動やOSS活動には関心がありますか？,はい。知見の発信や、オープンソースでの協力を通して技術コミュニティにも貢献したいと考えています。
キャリア,どんなリーダーシップスタイルを理想としていますか？,背中を見せて引っ張るというより、並走しながら信頼と安心を与えられるようなスタイルを目指したいです。
キャリア,長期的に働く環境に必要な条件は？,継続的な学びと成長が保証されていること。そして安心して挑戦できる心理的安全性のある環境です。
研究・学業,専攻は何ですか？,バイオインフォマティクスを専攻しており、特に化合物の類似性やドッキングを活用した創薬支援に取り組んでいます。
研究・学業,どんな研究をしていますか？,構造活性相関（SAR）を用いて、異なるターゲット間で情報転移が可能なフラグメント類似性を解析しています。
研究・学業,なぜその研究テーマを選んだのですか？,計算で創薬を支援できる分野に興味があり、実験と情報の橋渡しとなるテーマだったためです。
研究・学業,研究に使っている技術は？,"Python, RDKit, AutoDock Vina, FAISS などを用いて分子類似性やベクトル検索を実装しています。"
研究・学業,その研究の最終的なゴールは何ですか？,ターゲット横断的な活性予測やフラグメント最適化の支援アルゴリズムの確立です。
研究・学業,学部時代は何をしていましたか？,Pythonによるデータ分析を学びつつ、創薬系の基礎知識を座学で身につけていました。
研究・学業,研究成果はどこかで発表しましたか？,研究室内や学会、輪講での発表を通して、フィードバックを得ながら改良を続けています。
研究・学業,学会発表の経験はありますか？,はい。TokyoBioinfomaticsMeetingにて学部時代の研究成果を発表しました。
研究・学業,どのように研究テーマを深掘りしていますか？,実行結果の化合物について先生方と議論しながら、仮説を立てて検証を繰り返しています。
研究・学業,論文はどのように探していますか？,PubMedやGoogle Scholarを用い、キーワードと引用関係を追って収集しています。
研究・学業,研究で学んだことは実務にどう活きますか？,曖昧な問いを明確にし、検証可能な単位に落とし込む力が、開発要件整理にも直結しています。
研究・学業,実験系との関わりはありますか？,基本的には計算側になります。
研究・学業,今後、研究を続けたいですか？,非常に楽しいですが、主には実務での応用を重視しています。研究は趣味として続けたいです。
研究・学業,卒業後も学術に関わりたいですか？,直接的な形に限らず、論文を読むことで学術的な知見を得続けたいと考えています。
研究・学業,どんな研究室に所属していますか？,計算創薬を専門とする研究室で、研究を通して人に伝える能力を鍛えることを重視しています。
研究・学業,輪講やゼミで大変だったことは？,情報を整理して人に伝える難しさを感じましたが、プレゼン力と論理構成力が鍛えられました。
研究・学業,研究と開発をどう両立していますか？,研究を基本とし、開発のモチベーションが高まったときに個人開発を行うスタイルです。
研究・学業,学びをどのようにアウトプットしていますか？,輪講や研究室内の発表を通じて、他のメンバーと知見を共有しています。
研究・学業,今後研究したいことは？,生成AIや機械学習による分子設計、さらには大規模構造データの解析にも挑戦したいです。
研究・学業,分子ドッキングに使っているツールは？,AutoDock Vinaを中心に、Grid Boxの設計や結果のスコア分析を行っています。
研究・学業,分子の類似性はどのように計算していますか？,RDKitを用いて2D指紋類似度や3D構造のRMSDを使っています。
研究・学業,研究で難しかったことは？,新しい類似度指標の定義と、定量評価指標の設計に苦労しました。
研究・学業,論文で参考にした代表的な手法は？,ROCSベースの3D類似度手法などです。
研究・学業,計算機リソースはどのように確保していますか？,研究室のGPUサーバーやTSUBAMEクラスタを活用しています。
研究・学業,コード管理はどのようにしていますか？,GitとGitHubを活用し、研究コードと検証結果を整理しています。
研究・学業,結果の再現性をどう担保していますか？,ログを保存する設計をしています。
研究・学業,実験結果を評価する指標は？,ドッキングスコアとの相関、類似度分布、活性化合物の再現率などを用いています。
研究・学業,学際的な要素を感じることはありますか？,化学、情報、統計、AIなど多分野の知識が必要で、学際性の高さを日々感じています。
研究・学業,共同研究やチームでの活動経験は？,プログラミング・化学・実験の専門を持つメンバーと連携しながら進めています。
研究・学業,研究で工夫したアルゴリズムはありますか？,フラグメント同士の体積重み付きスコアを導入することで、サイズバイアスを軽減しました。
研究・学業,何をきっかけに研究に興味を持ちましたか？,分子が持つ構造の面白さと、計算でそれを解析できるという点に惹かれました。
研究・学業,大学院進学を決めた理由は？,専門性を高めつつ、研究の自由度や裁量をより深く持てると考えたからです。
研究・学業,今後の研究課題は？,活性予測精度のさらなる向上と、汎用的なスクリーニングツールの開発です。
研究・学業,最近気になっている論文は？,有料ツールであるGlideをOSSとして再現した論文があり、興味深く読んでいます。
研究・学業,どんな分子を対象にしていますか？,主にRule-of-5を満たす医薬品候補サイズの中小分子を対象にしています。
研究・学業,構造データはどこから取得していますか？,PDBやChEMBLなどの公開データベースを活用しています。
研究・学業,研究の魅力は何ですか？,自分の問いに自分で答えを出せるところ。仮説が結果につながる瞬間が嬉しいです。
雑談,最近見た面白い映画は？,『名探偵コナン 隻眼の残像』を観ました。本作は小五郎の見せ場が多くて楽しめました。
雑談,好きな食べ物は？,たらこスパゲティと、抹茶系のお菓子が特に好きです。
雑談,最近読んだ本は？,『負けヒロインが多すぎる』の最新刊を読みました。
雑談,よく使うアプリは？,DiscordとNotionをよく使います。特にNotionはタスク管理やメモに重宝しています。
雑談,旅行するならどこに行きたい？,箱根温泉に行きたいです。自然の中でリフレッシュしたいです。
雑談,行ってみたい国は？,ドイツに行ってみたいです。ビールと歴史的な建築物に興味があります。
雑談,どんな音楽を聴きますか？,アニソンやゲーム音楽をよく聴きます。
雑談,普段どこで作業していますか？,大学の研究室、自宅のデスクです。自分のやる気よって場所を変えています。
雑談,もし1日何をしても良いなら？,本を読んで、散歩して、アイデアが浮かんだらコーディングすると思います。
雑談,好きな季節は？,秋が好きです。過ごしやすくて、静かに集中できる雰囲気があります。
雑談,運動はしていますか？,したいとは思っています。
雑談,朝型？夜型？,どちらかというと朝型ですが、最近は夜に作業することも増えました。
雑談,一番集中できる時間帯は？,夜の23時以降が集中しやすいです。
雑談,部屋にはどんなものがありますか？,モニター1枚、キーボード、トラックパッド、技術書が10冊ほどです。
雑談,もしプログラマーじゃなかったら何をしてた？,化学の実験系の研究者になっていたかもしれません。化学に興味があったので。
雑談,ゲームはしますか？,RPGが好きです。自分のペースで進められるのが良いです。
雑談,もし時間が無限にあったら？,すべての技術を1つずつ極めたいです。まずは言語処理とシステム設計から。
雑談,最近ハマった飲み物は？,きりっと果実のオレンジ&マンゴーが美味しかったです。
技術,このポートフォリオは何のためのサイトですか？,米山の技術・研究・制作物をまとめたポートフォリオサイトです。興味がある章（タイムライン/スキル/経歴/発表/研究・個人制作物）から見てもらえる構成にしています。
技術,ポートフォリオはどんな章で構成されていますか？,主に「タイムライン」「スキル」「経歴」「発表」「研究・個人制作物（プロジェクト）」の5章で構成されています。
技術,タイムライン章は何が見られますか？,技術的な学びや制作の流れを時系列で整理した章です。いつ何に取り組んだかを短時間で把握できるようにしています。
技術,タイムライン章の狙いは何ですか？,成果だけでなく、学び方・進め方・継続性が伝わるようにすることです。「どう成長してきたか」を見せる目的があります。
技術,スキル章は何が見られますか？,使用経験のある言語・技術を一覧化した章です。得意領域と触れてきた領域の幅を俯瞰できます。
技術,スキル章はどういう見方を想定していますか？,「得意スタック」「触っているインフラ」「研究で使う技術」など、面接官が気になる切り口で拾いやすいようにしています。
技術,経歴章には何が書かれていますか？,学歴とアルバイト/インターンなどの経験をまとめています。各経験で扱った技術スタックと、取り組んだ内容をセットで載せています。
技術,経歴章の“タグ”は何を表していますか？,その経験で使用した技術要素（言語/クラウド/DB/ツールなど）を示しています。文章を読まなくても技術領域が分かるようにするためです。
技術,発表章には何が書かれていますか？,学会発表や研究発表などの実績をまとめた章です。研究面のアウトプットを分かりやすく整理しています。
技術,研究・個人制作物章は何が見られますか？,個人開発や研究関連の制作物をカード形式で紹介しています。概要・役割・使用技術・リンク（GitHub/デモ/資料など）をまとまって見られます。
技術,プロジェクトカードにはどんな情報がありますか？,プロジェクト名、短い説明、使用技術タグ、外部リンク（GitHubやデモ等）があります。まず“何を作ったか”が一目で分かる設計です。
技術,プロジェクトカードの技術タグは何のためにありますか？,「この制作物でどの技術を触ったか」を視覚的に伝えるためです。面接で深掘りされやすいポイントを先に提示する意図もあります。
技術,このページ自体（ポートフォリオ）はどんな技術で作っていますか？,フロントはReact+TypeScriptで、静的サイトとしてホスティングしています。CI/CDで自動デプロイし、更新を継続しやすい構成にしています。
技術,YoneyamaGPTは何をする機能ですか？,このポートフォリオや米山の基本情報について質問できるUIです。質問内容に応じて回答と表示（衣装など）が変わります。
技術,衣装コレクションは何のための仕掛けですか？,サイトを眺める体験に遊びを入れるためです。軽いゲーム要素として、質問を促す役割も持たせています。
技術,衣装コレクションの“解放”条件は何ですか？,質問のカテゴリに応じて衣装が解放されます。技術や経歴など、違う切り口の質問をしてもらう導線になっています。
技術,ポートフォリオのどこを見れば全体像が早く掴めますか？,まず「研究・個人制作物」のカード一覧→気になるものを開き、次に「経歴」で背景を確認する流れが早いです。
技術,面接官に一番見てほしい章はどこですか？,「研究・個人制作物」と「経歴」です。実際に何を作り、どんな環境でやってきたかが一番伝わりやすいからです。
技術,タイムライン章は何を表していますか？,米山の技術的な学びや制作の流れを時系列で整理した章です。成果だけでなく、取り組みの順序や背景が分かるようにしています。
技術,なぜタイムライン形式にしていますか？,技術の積み上がり方や興味の変化を直感的に伝えたかったからです。点ではなく流れとして見てもらう意図があります。
技術,タイムラインはどこから始まっていますか？,プログラミングを本格的に触り始めた時期から始まり、現在の研究・個人開発までをカバーしています。
技術,タイムラインにはどんな種類の出来事が含まれていますか？,学習、個人開発、研究、インターン、技術スタックの転換点などが含まれています。
技術,タイムラインの各項目はどのように選んでいますか？,自分の中で技術的に転機だった出来事や、後の活動に影響したものを中心に選んでいます。
技術,タイムラインを見ると何が一番分かりますか？,どの技術をどの順番で身につけ、何に使ってきたかが一目で分かります。
技術,初期のタイムラインには何が書かれていますか？,基礎的なプログラミング学習や、小さな制作物に取り組み始めた頃の内容が書かれています。
技術,途中で技術分野が変わっているように見えますが意図的ですか？,はい。興味や課題に応じて技術領域を広げてきたことをそのまま反映しています。
技術,研究と個人開発はタイムライン上でどう扱っていますか？,並行して進めていた時期は同時期に配置し、相互に影響していることが分かるようにしています。
技術,タイムラインから研究志向か開発志向か分かりますか？,どちらか一方ではなく、両方を行き来しながら進んできたことが分かる構成になっています。
技術,タイムラインに失敗や試行錯誤は含まれていますか？,明示的に「失敗」と書いていなくても、試行錯誤の過程が読み取れる内容を含めています。
技術,タイムラインの中で一番大きな転機は何ですか？,研究と実装を結びつけて考え始めた時期が、大きな転機として位置づけられています。
技術,タイムラインは成果の一覧とは何が違いますか？,成果だけでなく、その前後の背景や理由を含めている点が大きな違いです。
技術,タイムラインから現在の興味分野は読み取れますか？,直近の項目を見ることで、現在注力している技術領域やテーマが分かるようになっています。
技術,なぜタイムラインに期間や順序を明示していますか？,技術習得のスピード感や並行作業の有無を伝えるためです。
技術,タイムラインは今後も更新されますか？,はい。新しいプロジェクトや学びがあれば随時追加する前提で作っています。
技術,タイムラインの読み方におすすめはありますか？,最初から順に見るか、直近から遡って興味のある部分を深掘りする読み方がおすすめです。
技術,タイムラインと他の章はどうつながっていますか？,各タイムライン項目が、経歴章やプロジェクト章の詳細に対応しています。
技術,面接でタイムラインはどう使ってほしいですか？,気になる時期を指して「この頃何をしていたの？」と質問してもらえると嬉しいです。
技術,タイムライン章で一番伝えたいことは何ですか？,技術を単発で学ぶのではなく、目的を持って積み上げてきたという点です。
技術,スキル章は何を目的としたセクションですか？,米山が扱える技術スタックを一覧化し、得意領域や技術的な幅を直感的に伝えるためのセクションです。
技術,スキル章にはどんなスキルが載っていますか？,プログラミング言語、フレームワーク、クラウド、インフラ、研究用ツールなど実務・研究で使用した技術が載っています。
技術,スキル章のスキルは自己申告ですか？,はい。ただし、実務・研究・個人開発で実際に使用したもののみを掲載しています。
技術,スキルの並び順には意味がありますか？,使用頻度や現在の関心度をある程度反映していますが、厳密な優劣を示すものではありません。
技術,スキル章を見ると何が一番分かりますか？,どのレイヤー（フロント・バック・インフラ・研究）まで対応できるかが分かります。
技術,スキル章と経歴章の違いは何ですか？,スキル章は「できること」、経歴章は「どこで何をしてきたか」を示しています。
技術,プログラミング言語のスキルはどの程度のレベルですか？,業務や研究で実装・保守ができるレベルを基準にしています。
技術,なぜRustをスキル章で強調していますか？,安全性とパフォーマンスを重視する思想が自分の志向と合っているためです。
技術,Pythonはどのような用途で使っていますか？,研究用の解析、バックエンドAPI、ETL処理など幅広く使っています。
技術,フロントエンドのスキルはどの程度ありますか？,ReactとTypeScriptを用いて、実運用を意識したUI実装が可能なレベルです。
技術,インフラ系のスキルはどこまで対応できますか？,AWSやGCPでの基本的な構成設計、CI/CD、監視の導入まで対応できます。
技術,研究用ツールもスキルに含めている理由は？,研究と開発を分断せず、両方を横断できる点を強みとしているためです。
技術,スキル章に載っていない技術もありますか？,触れたことはあるが実運用経験が浅いものは、あえて載せていません。
技術,スキルの習得方法に特徴はありますか？,小さなプロジェクトを作り、実際に動かしながら理解を深めるスタイルです。
技術,スキル章から得意分野は読み取れますか？,バックエンド、データ処理、インフラ寄りの技術が得意であることが分かります。
技術,スキル章は今後どのように更新されますか？,新しく実務や研究で使った技術が増え次第、随時更新していく予定です。
技術,スキル章だけ見て即戦力か判断できますか？,詳細は他の章と合わせて見る必要がありますが、対応可能な技術領域は把握できます。
技術,スキル章は採用担当にどう見てほしいですか？,技術の幅と、特定領域に偏りすぎないバランス感覚を感じ取ってほしいです。
技術,スキル章とプロジェクト章はどう連携していますか？,スキル章にある技術が、プロジェクト章で実際にどう使われたかが確認できます。
技術,スキル章で一番伝えたいことは何ですか？,単に技術を並べるのではなく、実際に使える形で身につけてきたという点です。
技術,経歴章は何を目的としたセクションですか？,米山のこれまでの学歴や実務経験を時系列で整理し、技術的な成長の流れを伝えるためのセクションです。
技術,経歴章にはどんな内容が含まれていますか？,学歴、アルバイト、インターン、研究活動など、技術に関わる経歴を中心にまとめています。
技術,経歴章は職歴書と何が違いますか？,単なる職務内容ではなく、その時期に何を学び、どう成長したかを重視しています。
技術,学歴はどこまで詳しく書いていますか？,大学・大学院での専攻や学んだ分野が分かる程度にまとめています。
技術,大学での専攻は経歴章でどう扱われていますか？,情報科学・バイオインフォマティクスという軸が一貫していることを示しています。
技術,アルバイト経験は経歴として重要ですか？,実務に近い開発経験が含まれているため、重要な経歴として扱っています。
技術,インターン経験はどのように書かれていますか？,使用技術や役割、学んだことが分かる形で整理しています。
技術,経歴章からどんなエンジニア像が伝わりますか？,研究と実装の両方を行き来しながら成長してきたエンジニア像が伝わります。
技術,経歴の順番には意味がありますか？,時系列順に並べることで、技術スタックの広がりが分かるようにしています。
技術,研究経験は経歴章でどのように位置づけていますか？,単なる学業ではなく、技術力を支える重要なバックグラウンドとして扱っています。
技術,経歴章とタイムライン章はどう違いますか？,経歴章は事実ベース、タイムライン章は技術的な出来事や転機を重視しています。
技術,経歴章を見ると即戦力か判断できますか？,即戦力かどうかよりも、どの環境でどの技術を扱ってきたかが分かります。
